,candidate_1,candidate_2,candidate_3,candidate_4,candidate_5
106,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
107,candidate_Bob Kiss,candidate_Andy Montroll,0,0,0
108,candidate_Dan Smith,0,0,0,0
109,candidate_Kurt Wright,candidate_Dan Smith,candidate_Bob Kiss,0,0
110,candidate_Bob Kiss,0,0,0,0
111,candidate_Kurt Wright,0,0,0,0
112,candidate_Andy Montroll,candidate_Dan Smith,0,0,0
113,candidate_Dan Smith,candidate_Andy Montroll,0,0,0
114,candidate_Kurt Wright,candidate_James Simpson,candidate_Andy Montroll,0,0
115,candidate_Kurt Wright,candidate_Dan Smith,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson
118,candidate_Dan Smith,candidate_Andy Montroll,0,0,0
119,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,candidate_Bob Kiss,candidate_Kurt Wright
120,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,candidate_James Simpson
121,candidate_Dan Smith,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Bob Kiss,0
122,candidate_Bob Kiss,0,0,0,0
123,candidate_Kurt Wright,candidate_Bob Kiss,candidate_Andy Montroll,candidate_James Simpson,candidate_Dan Smith
124,candidate_Kurt Wright,candidate_Bob Kiss,0,0,0
125,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,0,0
126,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_Kurt Wright,0
127,candidate_Andy Montroll,candidate_Bob Kiss,0,0,0
128,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,candidate_Kurt Wright,0
129,candidate_Bob Kiss,candidate_Dan Smith,candidate_James Simpson,candidate_Kurt Wright,candidate_Andy Montroll
130,candidate_Kurt Wright,0,0,0,0
131,candidate_Bob Kiss,candidate_Kurt Wright,candidate_Dan Smith,0,0
132,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Dan Smith,0,0
133,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Dan Smith,0,0
134,candidate_Andy Montroll,candidate_Bob Kiss,0,0,0
135,candidate_Andy Montroll,candidate_James Simpson,candidate_Bob Kiss,candidate_Dan Smith,0
136,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,0,0
137,candidate_Bob Kiss,candidate_Dan Smith,candidate_Andy Montroll,candidate_James Simpson,candidate_Kurt Wright
138,candidate_Kurt Wright,candidate_Dan Smith,0,0,0
139,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Kurt Wright,0
140,candidate_Dan Smith,candidate_Andy Montroll,0,0,0
141,candidate_Kurt Wright,0,0,0,0
142,candidate_Bob Kiss,0,0,0,0
143,candidate_Andy Montroll,0,0,0,0
144,candidate_Andy Montroll,candidate_Dan Smith,candidate_Bob Kiss,0,0
145,candidate_Andy Montroll,candidate_James Simpson,candidate_Kurt Wright,0,0
146,candidate_Kurt Wright,candidate_Andy Montroll,candidate_Dan Smith,0,0
147,candidate_Andy Montroll,candidate_Bob Kiss,candidate_Kurt Wright,0,0
148,candidate_Andy Montroll,0,0,0,0
149,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,0,0
150,candidate_Andy Montroll,candidate_Dan Smith,0,0,0
151,candidate_Bob Kiss,candidate_Andy Montroll,candidate_Dan Smith,candidate_James Simpson,0
152,candidate_Kurt Wright,candidate_Dan Smith,candidate_Andy Montroll,candidate_Bob Kiss,candidate_James Simpson
153,candidate_Kurt Wright,candidate_Andy Montroll,0,0,0
154,candidate_Andy Montroll,candidate_Dan Smith,0,0,0
